aid;brand;mpnr;ean;name;desc;shop_cat;price;link;image;old_price;dlv_time;dlv_cost;pzn;promo_text;
220959;Abena;220959;5703538768293;Curi-Med Fixierpflaster - atmungsaktiv - hypoallergen - 20 cm x 10 m - 1 Rolle - PZN 7560966 ;Fixierklebeband für Wundauflagen Katheter Schläuche etc.  Hypoallergen  Atmungsaktiv  Maße: 20 cm x 10 m  Lieferumfang: 1 Rolle;Home/Inkontinenz/Nach Marken sortiert/Abena;45.99;https://www.inko-versand.de/product-220959-curi-med-fixierklebeband-atmungsaktiv-hypoallergen-20-cm-x-10-m-1-rolle.html;https://www.inko-versand.de/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/2/220959_2.jpg;50.59;ca. 5-7 Tage;6.90;7560966 ;;
220958;Abena;220958;5703538768255;Curi-Med Fixierpflaster Vlies 15 cmx10 m Rolle - atmungsaktiv - hypoallergen - 15 cm x 10 m - 1 Rolle ;Fixierklebeband für Wundauflagen Katheter Schläuche etc.  Hypoallergen  Atmungsaktiv  Maße: 15 cm x 10 m  Lieferumfang: 1 Rolle;Home/Inkontinenz/Nach Marken sortiert/Abena;26.99;https://www.inko-versand.de/product-220958-curi-med-fixierklebeband-atmungsaktiv-hypoallergen-15-cm-x-10-m-1-rolle.html;https://www.inko-versand.de/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/2/220958_2.jpg;29.69;ca. 5-7 Tage;6.90;07560937;;
220957;Abena;220957;5703538768217;Curi-Med Fixierpflaster Vlies 10 cm x 10 m Rolle - nicht zum Duschen geeignet - atmungsaktiv - hypoallergen - PZN 07560848 ;Fixierklebeband für Wundauflagen Katheter Schläuche etc.  Hypoallergen und atmungsaktiv  Nicht zum Duschen geeignet  Maße: 10 cm x 10 m  Lieferumfang: 1 Rolle;Home/Inkontinenz/Nach Marken sortiert/Abena;21.49;https://www.inko-versand.de/product-220957-curi-med-fixierklebeband-nicht-zum-duschen-geeignet-atmungsaktiv-hypoallergen-10-cm-x-10-m-1-rolle.html;https://www.inko-versand.de/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/2/220957_2.jpg;23.64;ca. 5-7 Tage;6.90;07560848 ;;
220923;Abena;220923;5703538766855;Curi-Med - Saugkompresse - 400 g/qm - 10 x 10 cm - weiß - steril - 50 Stück - PZN 05905289 ;• Curi-Med Saugkompresse  • steril  • Maße: 10 x 10 cm  • 100% Baumwolle / 8-lagig  • Lieferumfang: 1 Packung / 50 Stück;Home/Inkontinenz/Nach Marken sortiert/Abena;27.49;https://www.inko-versand.de/product-220923-curi-med-saugkompresse-10-x-10-cm-weiss-steril-50-stueck.html;https://www.inko-versand.de/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/2/220923_2.jpg;30.24;ca. 5-7 Tage;6.90;05905289;;
220924;Abena;220924;5703538766893;Curi-Med - Saugkompresse - steril - 400g/m2 - 10 x 20 cm - 25 Stück - PZN 05905303 ;• Curi-Med Saugkompresse  • steril  • Maße: 10 x 20 cm  • 100% Baumwolle / 8-lagig  • Lieferumfang: 1 Packung / 25 Stück;Home/Inkontinenz/Nach Marken sortiert/Abena;17.19;https://www.inko-versand.de/product-220924-curi-med-saugkompresse-steril-10-x-20-cm-25-stueck.html;https://www.inko-versand.de/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/2/220924_2.jpg;18.91;ca. 5-7 Tage;6.90;05905303;;
220888;Abena;220888;5703538765414;Curi-Med - Saugkompresse - unsteril - 20 x 20 cm - 50 Stück - PZN 01653833 ;• Saugstarke Kompresse  • Für die Versorgung von nässenden Wunden  • Unsteril  • Maße: 20 x 20 cm  • Lieferumfang: 1 Packung / 50 Stück;Home/Inkontinenz/Nach Marken sortiert/Abena/;19.49 ;https://www.inko-versand.de/product-220888-curi-med-saugkompresse-unsteril-20-x-20-cm-50-stueck.html;https://www.inko-versand.de/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/2/220888_2.jpg;21.44;ca. 5-7 Tage;6.90;01653833 ;;
220887;Abena;220887;5703538770494;Curi-Med - Saugkompresse - unsteril - 10 x 20 cm - 50 Stück ;Saugstarke Kompresse  Für die Versorgung von nässenden Wunden  unsteril  Maße: 10 x 20 cm  Lieferumfang: 1 Packung / 50 Stück;Home/Inkontinenz/Nach Marken sortiert/Abena;10.75;https://www.inko-versand.de/product-220887-curi-med-saugkompresse-unsteril-10-x-20-cm-50-stueck.html;https://www.inko-versand.de/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/2/220887_2.jpg;11.83;ca. 5-7 Tage;6.90;1653810;;
221061;Abena;221061;5703538772139;Curi-Med Idealbinde - 100% Baumwolle - 8 cm x 5 m - PZN 8443412 - 10 Rollen ;• Curi-Med Idealbinde  • Maße: 8 cm x 5 m  • 100% Baumwolle  • 93% Elastizität  • Lieferumfang: 10 Rollen / Karton;Home/Inkontinenz/Nach Marken sortiert/Abena;25.99;https://www.inko-versand.de/product-221061-curi-med-idealbinde-100-baumwolle-8-cm-x-5-m-1-stueck.html;https://www.inko-versand.de/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/2/221061_1.jpg;28.59;ca. 5-7 Tage;6.90;8443412;;
221422;Abena;221422;02072995;CURI-MED Vlieskompresse 4-fach unsteril - Binde - weiß - lose verpackt - 4 cm x 4 m - PZN 02072995 - 20 Stück ;• hochwertige elastische Fixierbinden  • mit gewebten Kanten  • 41% Baumwolle 59% Polyamid  • breitenstabil und luftdurchlässig  • Dehnbarkeit ca. 130%;Home/Inkontinenz/Nach Marken sortiert/Abena;19.99;https://www.inko-versand.de/product-221422-curimed-elastische-fixierbinden-weiss-lose-verpackt-4-cm-x-4-m-20-stueck.html;https://www.inko-versand.de/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/2/221422_2.jpg;21.99;ca. 5-7 Tage;6.90;02072995;;
221423;Abena;221423;5703538765094;Curi-Med - Mullfixierbinde - 6 cm x 4 m - elastisch - unsteril - weiß - 20 Stück - PZN 1651780;Curi-Med Mullfixierbinde  41% Baumwolle 59% Polyamid  Maße: 6 cm x 4 m  hochwertig  Lieferumfang: 1 Packung / 20 Stück ( unsteril );Home/Inkontinenz/Nach Marken sortiert/Abena/Curi-Med - Mullfixierbinde - 6 cm x 4 m - elastisch - unsteril - weiß - 20 Stück - PZN 1651780;6.10;https://www.inko-versand.de/product-221423-curi-med-mullfixierbinde-6-cm-x-4-m-elastisch-unsteril-weiss-20-stueck.html;https://www.inko-versand.de/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/2/221423_2.jpg;6.71;ca. 5-7 Tage;6.90;1651780;;
220957x36;Abena;220957;5703538768231;Curi-Med Fixierpflaster Vlies 10 cm x 10 m - 36 Rolle - nicht zum Duschen geeignet - atmungsaktiv - hypoallergen - PZN 07560877 ;Fixierklebeband für Wundauflagen Katheter Schläuche etc.  Hypoallergen und atmungsaktiv  Nicht zum Duschen geeignet  Maße: 10 cm x 10 m  Lieferumfang: 36 Rollen;Home/Inkontinenz/Nach Marken sortiert/Abena/Curi-Med Fixierpflaster Vlies 10 cm x 10 m - 36 Rolle - nicht zum Duschen geeignet - atmungsaktiv - hypoallergen - PZN 07560877;915.45;https://www.inko-versand.de/product-220957-curi-med-fixierklebeband-nicht-zum-duschen-geeignet-atmungsaktiv-hypoallergen-10-cm-x-10-m-36-rollen.html;https://www.inko-versand.de/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/2/220957_2_1.jpg;961.22;ca. 5-7 Tage;6.90;07560877 ;;
220958x18;Abena;220958;5703538768279;Curi-Med Fixierpflaster Vlies 15 cm x10 m Rolle - atmungsaktiv - hypoallergen - 15 cm x 10 m - 18 Rollen - PZN 07560943 ;Fixierklebeband für Wundauflagen Katheter Schläuche etc.  Hypoallergen  Atmungsaktiv  Maße: 15 cm x 10 m  Lieferumfang: 18 Rollen;Home/Inkontinenz/Nach Marken sortiert/Abena/Curi-Med Fixierpflaster Vlies 15 cm x10 m Rolle - atmungsaktiv - hypoallergen - 15 cm x 10 m - 18 Rollen - PZN 07560943;649.78;https://www.inko-versand.de/product-220958-curi-med-fixierklebeband-atmungsaktiv-hypoallergen-15-cm-x-10-m-18-rollen.html;https://www.inko-versand.de/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/2/220958_2_1.jpg;682.27;ca. 5-7 Tage;6.90;07560943;;
