Artikelnummer im Shop;EAN / GTIN / Barcodenummer / UPC;Herstellerartikelnummern (HAN/MPN);Hersteller / Markenname;Produktname;Preis (Brutto);Lieferzeit;Produktbeschreibung;ProduktURL;BildURL_1;Versandkosten;Vorkasse;Paydirekt;Paypal;Kreditkartenzahlung über BS PAYONE GmbH;Versandkosten Kommentar
220959;5703538768293;220959;Abena;Curi-Med Fixierpflaster - atmungsaktiv - hypoallergen - 20 cm x 10 m - 1 Rolle - PZN 7560966 ;45.99;ca. 5-7 Tage;Fixierklebeband für Wundauflagen Katheter Schläuche etc.  Hypoallergen  Atmungsaktiv  Maße: 20 cm x 10 m  Lieferumfang: 1 Rolle;https://www.inko-versand.de/product-220959-curi-med-fixierklebeband-atmungsaktiv-hypoallergen-20-cm-x-10-m-1-rolle.html;https://www.inko-versand.de/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/2/220959_2.jpg;6.90;;;;;Für die Lieferung innerhalb Deutschlands berechnen wir pauschal 6.90 euro pro Lieferung unabhangig vom Gewicht der Lieferung innerhalb Deutschlands. Ab einer Bestellung in Hohe von 150.00 euro liefern wir portofrei.
220958;5703538768255;220958;Abena;Curi-Med Fixierpflaster Vlies 15 cmx10 m Rolle - atmungsaktiv - hypoallergen - 15 cm x 10 m - 1 Rolle ;26.99;ca. 5-7 Tage;Fixierklebeband für Wundauflagen Katheter Schläuche etc.  Hypoallergen  Atmungsaktiv  Maße: 15 cm x 10 m  Lieferumfang: 1 Rolle;https://www.inko-versand.de/product-220958-curi-med-fixierklebeband-atmungsaktiv-hypoallergen-15-cm-x-10-m-1-rolle.html;https://www.inko-versand.de/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/2/220958_2.jpg;6.90;;;;;Für die Lieferung innerhalb Deutschlands berechnen wir pauschal 6.90 euro pro Lieferung unabhangig vom Gewicht der Lieferung innerhalb Deutschlands. Ab einer Bestellung in Hohe von 150.00 euro liefern wir portofrei.
220957;5703538768217;220957;Abena;Curi-Med Fixierpflaster Vlies 10 cm x 10 m Rolle - nicht zum Duschen geeignet - atmungsaktiv - hypoallergen - PZN 07560848 ;21.49;ca. 5-7 Tage;Fixierklebeband für Wundauflagen Katheter Schläuche etc.  Hypoallergen und atmungsaktiv  Nicht zum Duschen geeignet  Maße: 10 cm x 10 m  Lieferumfang: 1 Rolle;https://www.inko-versand.de/product-220957-curi-med-fixierklebeband-nicht-zum-duschen-geeignet-atmungsaktiv-hypoallergen-10-cm-x-10-m-1-rolle.html;https://www.inko-versand.de/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/2/220957_2.jpg;6.90;;;;;Für die Lieferung innerhalb Deutschlands berechnen wir pauschal 6.90 euro pro Lieferung unabhangig vom Gewicht der Lieferung innerhalb Deutschlands. Ab einer Bestellung in Hohe von 150.00 euro liefern wir portofrei.
220923;5703538766855;220923;Abena;Curi-Med - Saugkompresse - 400 g/qm - 10 x 10 cm - weiß - steril - 50 Stück - PZN 05905289 ;27.49;ca. 5-7 Tage;• Curi-Med Saugkompresse  • steril  • Maße: 10 x 10 cm  • 100% Baumwolle / 8-lagig  • Lieferumfang: 1 Packung / 50 Stück;https://www.inko-versand.de/product-220923-curi-med-saugkompresse-10-x-10-cm-weiss-steril-50-stueck.html;https://www.inko-versand.de/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/2/220923_2.jpg;6.90;;;;;Für die Lieferung innerhalb Deutschlands berechnen wir pauschal 6.90 euro pro Lieferung unabhangig vom Gewicht der Lieferung innerhalb Deutschlands. Ab einer Bestellung in Hohe von 150.00 euro liefern wir portofrei.
220924;5703538766893;220924;Abena;Curi-Med - Saugkompresse - steril - 400g/m2 - 10 x 20 cm - 25 Stück - PZN 05905303 ;17.19;ca. 5-7 Tage;• Curi-Med Saugkompresse  • steril  • Maße: 10 x 20 cm  • 100% Baumwolle / 8-lagig  • Lieferumfang: 1 Packung / 25 Stück;https://www.inko-versand.de/product-220924-curi-med-saugkompresse-steril-10-x-20-cm-25-stueck.html;https://www.inko-versand.de/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/2/220924_2.jpg;6.90;;;;;Für die Lieferung innerhalb Deutschlands berechnen wir pauschal 6.90 euro pro Lieferung unabhangig vom Gewicht der Lieferung innerhalb Deutschlands. Ab einer Bestellung in Hohe von 150.00 euro liefern wir portofrei.
220888;5703538765414;220888;Abena;Curi-Med - Saugkompresse - unsteril - 20 x 20 cm - 50 Stück - PZN 01653833 ;19.49 ;ca. 5-7 Tage;• Saugstarke Kompresse  • Für die Versorgung von nässenden Wunden  • Unsteril  • Maße: 20 x 20 cm  • Lieferumfang: 1 Packung / 50 Stück;https://www.inko-versand.de/product-220888-curi-med-saugkompresse-unsteril-20-x-20-cm-50-stueck.html;https://www.inko-versand.de/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/2/220888_2.jpg;6.90;;;;;Für die Lieferung innerhalb Deutschlands berechnen wir pauschal 6.90 euro pro Lieferung unabhangig vom Gewicht der Lieferung innerhalb Deutschlands. Ab einer Bestellung in Hohe von 150.00 euro liefern wir portofrei.
220887;5703538770494;220887;Abena;Curi-Med - Saugkompresse - unsteril - 10 x 20 cm - 50 Stück ;10.75;ca. 5-7 Tage;Saugstarke Kompresse  Für die Versorgung von nässenden Wunden  unsteril  Maße: 10 x 20 cm  Lieferumfang: 1 Packung / 50 Stück;https://www.inko-versand.de/product-220887-curi-med-saugkompresse-unsteril-10-x-20-cm-50-stueck.html;https://www.inko-versand.de/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/2/220887_2.jpg;6.90;;;;;Für die Lieferung innerhalb Deutschlands berechnen wir pauschal 6.90 euro pro Lieferung unabhangig vom Gewicht der Lieferung innerhalb Deutschlands. Ab einer Bestellung in Hohe von 150.00 euro liefern wir portofrei.
221061;5703538772139;221061;Abena;Curi-Med Idealbinde - 100% Baumwolle - 8 cm x 5 m - PZN 8443412 - 10 Rollen ;25.99;ca. 5-7 Tage;• Curi-Med Idealbinde  • Maße: 8 cm x 5 m  • 100% Baumwolle  • 93% Elastizität  • Lieferumfang: 10 Rollen / Karton;https://www.inko-versand.de/product-221061-curi-med-idealbinde-100-baumwolle-8-cm-x-5-m-1-stueck.html;https://www.inko-versand.de/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/2/221061_1.jpg;6.90;;;;;Für die Lieferung innerhalb Deutschlands berechnen wir pauschal 6.90 euro pro Lieferung unabhangig vom Gewicht der Lieferung innerhalb Deutschlands. Ab einer Bestellung in Hohe von 150.00 euro liefern wir portofrei.
221422;02072995;221422;Abena;CURI-MED Vlieskompresse 4-fach unsteril - Binde - weiß - lose verpackt - 4 cm x 4 m - PZN 02072995 - 20 Stück ;19.99;ca. 5-7 Tage;• hochwertige elastische Fixierbinden  • mit gewebten Kanten  • 41% Baumwolle 59% Polyamid  • breitenstabil und luftdurchlässig  • Dehnbarkeit ca. 130%;https://www.inko-versand.de/product-221422-curimed-elastische-fixierbinden-weiss-lose-verpackt-4-cm-x-4-m-20-stueck.html;https://www.inko-versand.de/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/2/221422_2.jpg;6.90;;;;;Für die Lieferung innerhalb Deutschlands berechnen wir pauschal 6.90 euro pro Lieferung unabhangig vom Gewicht der Lieferung innerhalb Deutschlands. Ab einer Bestellung in Hohe von 150.00 euro liefern wir portofrei.
221423;5703538765094;221423;Abena;Curi-Med - Mullfixierbinde - 6 cm x 4 m - elastisch - unsteril - weiß - 20 Stück - PZN 1651780;6.10;ca. 5-7 Tage;Curi-Med Mullfixierbinde  41% Baumwolle 59% Polyamid  Maße: 6 cm x 4 m  hochwertig  Lieferumfang: 1 Packung / 20 Stück ( unsteril );https://www.inko-versand.de/product-221423-curi-med-mullfixierbinde-6-cm-x-4-m-elastisch-unsteril-weiss-20-stueck.html;https://www.inko-versand.de/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/2/221423_2.jpg;6.90;;;;;Für die Lieferung innerhalb Deutschlands berechnen wir pauschal 6.90 euro pro Lieferung unabhangig vom Gewicht der Lieferung innerhalb Deutschlands. Ab einer Bestellung in Hohe von 150.00 euro liefern wir portofrei.
220957x36;5703538768231;220957;Abena;Curi-Med Fixierpflaster Vlies 10 cm x 10 m - 36 Rolle - nicht zum Duschen geeignet - atmungsaktiv - hypoallergen - PZN 07560877 ;915.45;ca. 5-7 Tage;Fixierklebeband für Wundauflagen Katheter Schläuche etc.  Hypoallergen und atmungsaktiv  Nicht zum Duschen geeignet  Maße: 10 cm x 10 m  Lieferumfang: 36 Rollen;https://www.inko-versand.de/product-220957-curi-med-fixierklebeband-nicht-zum-duschen-geeignet-atmungsaktiv-hypoallergen-10-cm-x-10-m-36-rollen.html;https://www.inko-versand.de/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/2/220957_2_1.jpg;6.90;;;;;Für die Lieferung innerhalb Deutschlands berechnen wir pauschal 6.90 euro pro Lieferung unabhangig vom Gewicht der Lieferung innerhalb Deutschlands. Ab einer Bestellung in Hohe von 150.00 euro liefern wir portofrei.
220958x18;5703538768279;220958;Abena;Curi-Med Fixierpflaster Vlies 15 cm x10 m Rolle - atmungsaktiv - hypoallergen - 15 cm x 10 m - 18 Rollen - PZN 07560943 ;649.78;ca. 5-7 Tage;Fixierklebeband für Wundauflagen Katheter Schläuche etc.  Hypoallergen  Atmungsaktiv  Maße: 15 cm x 10 m  Lieferumfang: 18 Rollen;https://www.inko-versand.de/product-220958-curi-med-fixierklebeband-atmungsaktiv-hypoallergen-15-cm-x-10-m-18-rollen.html;https://www.inko-versand.de/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/2/220958_2_1.jpg;6.90;;;;;Für die Lieferung innerhalb Deutschlands berechnen wir pauschal 6.90 euro pro Lieferung unabhangig vom Gewicht der Lieferung innerhalb Deutschlands. Ab einer Bestellung in Hohe von 150.00 euro liefern wir portofrei.
220959-2;5703538768293;220959;Abena;Curi-Med Fixierpflaster - atmungsaktiv - hypoallergen - 20 cm x 10 m - 18 Rollen - PZN 07560972 ;829.49 ;ca. 5-7 Tage;Fixierklebeband für Wundauflagen Katheter Schläuche etc.  Hypoallergen  Atmungsaktiv  Maße: 20 cm x 10 m  Lieferumfang: 18 Rollen;https://www.inko-versand.de/product-220959-curi-med-fixierklebeband-atmungsaktiv-hypoallergen-20-cm-x-10-m-18-rollen.html;https://www.inko-versand.de/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/2/220959_2_1.jpg;6.90;;;;;Für die Lieferung innerhalb Deutschlands berechnen wir pauschal 6.90 euro pro Lieferung unabhangig vom Gewicht der Lieferung innerhalb Deutschlands. Ab einer Bestellung in Hohe von 150.00 euro liefern wir portofrei.
220994;07556019;220994;Abena;Curi-Med - Mullkompresse - 10 x 10 cm - steril - weiß - 125 Stk - PZN 07556019 ;11.69 ;ca. 5-7 Tage;• Curi-Med Mullkompresse  • steril  • Maße: 10 x 10 cm  • besonders gute Saugfähigkeit  • Lieferumfang: 1 Packung / 125 Stück;https://www.inko-versand.de/product-220994-curi-med-mullkompresse-10-x-10-cm-steril-weiss-125-stueck.html;https://www.inko-versand.de/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/2/2/220994_1.jpg;6.90;;;;;Für die Lieferung innerhalb Deutschlands berechnen wir pauschal 6.90 euro pro Lieferung unabhangig vom Gewicht der Lieferung innerhalb Deutschlands. Ab einer Bestellung in Hohe von 150.00 euro liefern wir portofrei.
